longitude,latitude,SoilMoi100_200cm_inst_month_1,SoilMoi100_200cm_inst_month_2,SoilMoi100_200cm_inst_month_3,SoilMoi100_200cm_inst_month_4,SoilMoi100_200cm_inst_month_5,SoilMoi100_200cm_inst_month_6,SoilMoi100_200cm_inst_month_7,SoilMoi100_200cm_inst_month_8,SoilMoi100_200cm_inst_month_9,SoilMoi100_200cm_inst_month_10,SoilMoi100_200cm_inst_month_11,SoilMoi100_200cm_inst_month_12,year
-71.5,-54.5,254.0683,255.747,261.1712,270.9069,279.4174,282.1016,277.6406,275.5787,274.9455,271.2326,268.0185,260.0038,2010
-70.5,-54.5,339.3065,342.8705,347.1643,353.4658,358.874,360.3441,358.5421,356.8946,355.01,351.6235,349.5529,342.4566,2010
-69.5,-54.5,448.3102,450.5782,453.3642,458.7207,465.1737,467.3636,459.8545,456.1212,452.6644,468.6994,464.7708,454.7832,2010
-68.5,-54.5,235.1443,230.7016,230.7612,237.3058,251.3091,264.189,260.4368,251.2945,247.043,275.5569,268.9241,250.8978,2010
-67.5,-54.5,220.5456,212.5779,209.7913,214.3422,230.9627,255.0925,259.4149,258.8245,274.7831,275.3552,257.6017,240.6784,2010
-66.5,-54.5,232.5069,225.0703,223.7036,233.0222,259.5531,283.5878,279.2178,282.4377,276.4947,271.6775,261.144,250.0318,2010
-72.5,-53.5,269.5627,272.6809,278.5952,290.4288,291.4246,287.3635,285.8249,277.3056,279.3448,289.6137,280.0543,275.325,2010
-71.5,-53.5,246.8269,248.0974,250.996,271.6674,282.2332,283.7238,277.295,285.3134,277.5533,266.4358,259.8178,247.6943,2010
-69.5,-53.5,241.8626,235.925,232.3093,231.2971,234.1884,248.9457,271.4447,287.2137,284.4095,274.6521,262.6914,249.9346,2010
