longitude,latitude,SoilMoi10_40cm_inst_month_1,SoilMoi10_40cm_inst_month_2,SoilMoi10_40cm_inst_month_3,SoilMoi10_40cm_inst_month_4,SoilMoi10_40cm_inst_month_5,SoilMoi10_40cm_inst_month_6,SoilMoi10_40cm_inst_month_7,SoilMoi10_40cm_inst_month_8,SoilMoi10_40cm_inst_month_9,SoilMoi10_40cm_inst_month_10,SoilMoi10_40cm_inst_month_11,SoilMoi10_40cm_inst_month_12,year
-71.5,-54.5,75.84006,78.46345,79.82701,82.76462,84.44439,84.27713,81.95806,82.45666,81.54784,81.53135,78.18271,77.35789,2010
-70.5,-54.5,101.8039,104.3235,105.3165,106.9808,108.0913,108.4316,106.9419,106.8452,105.4522,105.7671,102.4585,102.2996,2010
-69.5,-54.5,134.6179,137.0329,137.4759,139.02,140.5057,139.4058,149.5496,159.9076,169.4373,144.7052,135.9114,135.2562,2010
-68.5,-54.5,67.47901,71.30096,72.00577,75.59059,78.68208,77.75656,90.24355,118.7595,123.34,82.15948,72.90258,69.96213,2010
-67.5,-54.5,64.43336,66.39902,67.53304,73.31389,78.81689,79.21962,91.38801,112.9279,91.57001,77.76821,72.06907,69.41415,2010
-66.5,-54.5,69.02324,69.44013,71.76218,77.49592,82.46096,81.35088,80.54486,81.9106,77.4364,78.88318,75.16402,74.24681,2010
-72.5,-53.5,81.19383,82.12408,84.82691,87.05047,87.20437,85.19768,87.86945,94.62299,108.3798,85.98219,82.92471,81.32156,2010
-71.5,-53.5,76.30835,76.6528,78.65589,83.74918,85.26721,84.02043,94.47421,89.14318,80.45404,79.8594,76.75436,73.03941,2010
-69.5,-53.5,62.39888,66.33262,64.92122,71.61231,77.7665,85.26147,86.85606,87.59423,80.53306,78.75093,71.2457,65.69234,2010
